year,event_time,post,occ_code,occ_title,tot_emp,a_mean,h_mean,wage_bill,log_wage,log_emp,log_wbill,annual_only,suppressed_wage,soc_remapped,balanced,dv_alpha,dv_beta,dv_gamma,human_alpha,human_beta,human_gamma,n_onet,prefix5,exposure_imputed,exposure_residual
2023,1,1,39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",88140.0,50650.0,24.35,4464291000.0,10.832694509676829,11.386681738395978,22.21937624807281,0,False,0,0,0.1578947368421052,0.3684210526315789,0.5789473684210527,0.2631578947368421,0.3421052631578947,0.4210526315789473,1.0,39-10,0,0
2024,2,1,39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",92830.0,51400.0,24.71,4771462000.0,10.847393451443256,11.438525142393978,22.28591859383723,0,False,0,0,0.1578947368421052,0.3684210526315789,0.5789473684210527,0.2631578947368421,0.3421052631578947,0.4210526315789473,1.0,39-10,0,0
2021,-1,0,39-1022,First-Line Supervisors of Personal Service Workers,101030.0,45730.0,21.99,4620101900.0,10.7305098166521,11.523172781421778,22.25368259807388,0,False,0,0,0.1034482758620689,0.4137931034482758,0.7241379310344828,0.2413793103448275,0.3620689655172414,0.4827586206896551,1.0,39-10,0,0
2022,0,0,39-1022,First-Line Supervisors of Personal Service Workers,104480.0,47330.0,22.75,4945038400.0,10.764899622900291,11.556750944510258,22.32165056741055,0,False,0,0,0.1034482758620689,0.4137931034482758,0.7241379310344828,0.2413793103448275,0.3620689655172414,0.4827586206896551,1.0,39-10,0,0
2023,1,1,39-1022,First-Line Supervisors of Personal Service Workers,106440.0,50090.0,24.08,5331579600.0,10.821576666351662,11.575336725091626,22.396913391443288,0,False,0,0,0.1034482758620689,0.4137931034482758,0.7241379310344828,0.2413793103448275,0.3620689655172414,0.4827586206896551,1.0,39-10,0,0
2024,2,1,39-1022,First-Line Supervisors of Personal Service Workers,107060.0,50920.0,24.48,5451495200.0,10.838011052671344,11.581144703947372,22.41915575661871,0,False,0,0,0.1034482758620689,0.4137931034482758,0.7241379310344828,0.2413793103448275,0.3620689655172414,0.4827586206896551,1.0,39-10,0,0
2019,-3,0,39-1098,"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services",217680.0,43400.0,20.86,9447312000.0,10.678214720088496,12.290781373457127,22.968996093545623,0,False,0,0,0.1896784401321606,0.4049688212573875,0.6202592023826144,0.2258713760528642,0.34690423007119914,0.4679370840895341,3.0,,1,1
2020,-2,0,39-1098,"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services",174860.0,45820.0,22.03,8012085200.0,10.732475956007487,12.07174093273488,22.804216888742367,0,False,0,0,0.1896784401321606,0.4049688212573875,0.6202592023826144,0.2258713760528642,0.34690423007119914,0.4679370840895341,3.0,,1,1
2019,-3,0,39-2011,Animal Trainers,16530.0,36240.0,17.43,599047200.0,10.497918760156915,9.712932190815067,20.210850950971984,0,False,0,1,0.0689655172413793,0.1034482758620689,0.1379310344827586,0.1379310344827586,0.1379310344827586,0.1379310344827586,1.0,39-20,0,0
2020,-2,0,39-2011,Animal Trainers,14880.0,37950.0,18.25,564696000.0,10.544024782823776,9.607773308387085,20.15179809121086,0,False,0,1,0.0689655172413793,0.1034482758620689,0.1379310344827586,0.1379310344827586,0.1379310344827586,0.1379310344827586,1.0,39-20,0,0
2021,-1,0,39-2011,Animal Trainers,15840.0,38230.0,18.38,605563200.0,10.551375826690458,9.670293665368416,20.221669492058876,0,False,0,1,0.0689655172413793,0.1034482758620689,0.1379310344827586,0.1379310344827586,0.1379310344827586,0.1379310344827586,1.0,39-20,0,0
2022,0,0,39-2011,Animal Trainers,17710.0,41820.0,20.11,740632200.0,10.641129972982624,9.78188473077688,20.423014703759502,0,False,0,1,0.0689655172413793,0.1034482758620689,0.1379310344827586,0.1379310344827586,0.1379310344827586,0.1379310344827586,1.0,39-20,0,0
2023,1,1,39-2011,Animal Trainers,19240.0,44910.0,21.59,864068400.0,10.712415766081785,9.864746724219698,20.57716249030148,0,False,0,1,0.0689655172413793,0.1034482758620689,0.1379310344827586,0.1379310344827586,0.1379310344827586,0.1379310344827586,1.0,39-20,0,0
2024,2,1,39-2011,Animal Trainers,20110.0,45780.0,22.01,920635800.0,10.731602593506558,9.908972482766698,20.640575076273254,0,False,0,1,0.0689655172413793,0.1034482758620689,0.1379310344827586,0.1379310344827586,0.1379310344827586,0.1379310344827586,1.0,39-20,0,0
2019,-3,0,39-2021,Animal Caretakers,212450.0,27060.0,13.01,5748897000.0,10.20581190172478,12.266461945542956,22.472273847267736,0,False,0,1,0.1818181818181818,0.2727272727272727,0.3636363636363636,0.1515151515151515,0.1818181818181818,0.2121212121212121,1.0,39-20,0,0
2020,-2,0,39-2021,Animal Caretakers,193660.0,28380.0,13.65,5496070800.0,10.253439950714034,12.17385932316552,22.427299273879555,0,False,0,1,0.1818181818181818,0.2727272727272727,0.3636363636363636,0.1515151515151515,0.1818181818181818,0.2121212121212121,1.0,39-20,0,0
2021,-1,0,39-2021,Animal Caretakers,225680.0,29520.0,14.19,6662073600.0,10.292823278714408,12.326873345675878,22.619696624390286,0,False,0,1,0.1818181818181818,0.2727272727272727,0.3636363636363636,0.1515151515151515,0.1818181818181818,0.2121212121212121,1.0,39-20,0,0
2022,0,0,39-2021,Animal Caretakers,256670.0,32160.0,15.46,8254507200.0,10.378478723292902,12.455546492090413,22.834025215383317,0,False,0,1,0.1818181818181818,0.2727272727272727,0.3636363636363636,0.1515151515151515,0.1818181818181818,0.2121212121212121,1.0,39-20,0,0
2023,1,1,39-2021,Animal Caretakers,268830.0,33530.0,16.12,9013869900.0,10.420195839460272,12.501834488546375,22.92203032800665,0,False,0,1,0.1818181818181818,0.2727272727272727,0.3636363636363636,0.1515151515151515,0.1818181818181818,0.2121212121212121,1.0,39-20,0,0
2024,2,1,39-2021,Animal Caretakers,277300.0,34750.0,16.71,9636175000.0,10.455934850992938,12.53285523160387,22.988790082596807,0,False,0,1,0.1818181818181818,0.2727272727272727,0.3636363636363636,0.1515151515151515,0.1818181818181818,0.2121212121212121,1.0,39-20,0,0
2019,-3,0,39-3011,Gambling Dealers,98890.0,23980.0,11.53,2371382200.0,10.084975428581505,11.501763400264036,21.58673882884554,0,False,0,1,0.1351351351351351,0.1351351351351351,0.1351351351351351,0.1081081081081081,0.1486486486486486,0.1891891891891892,1.0,39-30,0,0
2020,-2,0,39-3011,Gambling Dealers,67330.0,26110.0,12.55,1757986300.0,10.170073661693175,11.117361181539328,21.2874348432325,0,False,0,1,0.1351351351351351,0.1351351351351351,0.1351351351351351,0.1081081081081081,0.1486486486486486,0.1891891891891892,1.0,39-30,0,0
2021,-1,0,39-3011,Gambling Dealers,64700.0,28960.0,13.92,1873712000.0,10.273670846499652,11.077516480488992,21.351187326988644,0,False,0,1,0.1351351351351351,0.1351351351351351,0.1351351351351351,0.1081081081081081,0.1486486486486486,0.1891891891891892,1.0,39-30,0,0
2022,0,0,39-3011,Gambling Dealers,71290.0,34350.0,16.51,2448811500.0,10.444357297650496,11.174511344111677,21.61886864176217,0,False,0,1,0.1351351351351351,0.1351351351351351,0.1351351351351351,0.1081081081081081,0.1486486486486486,0.1891891891891892,1.0,39-30,0,0
2023,1,1,39-3011,Gambling Dealers,80570.0,40030.0,19.25,3225217100.0,10.59738445198662,11.296881650771242,21.89426610275786,0,False,0,1,0.1351351351351351,0.1351351351351351,0.1351351351351351,0.1081081081081081,0.1486486486486486,0.1891891891891892,1.0,39-30,0,0
2024,2,1,39-3011,Gambling Dealers,82980.0,40420.0,19.43,3354051600.0,10.607079990957612,11.326354893886858,21.93343488484447,0,False,0,1,0.1351351351351351,0.1351351351351351,0.1351351351351351,0.1081081081081081,0.1486486486486486,0.1891891891891892,1.0,39-30,0,0
2019,-3,0,39-3012,Gambling and Sports Book Writers and Runners,9970.0,27830.0,13.38,277465100.0,10.233869854519936,9.207335862955883,19.44120571747582,0,False,0,1,0.2307692307692307,0.2692307692307693,0.3076923076923077,0.0769230769230769,0.2307692307692307,0.3846153846153846,1.0,39-30,0,0
2020,-2,0,39-3012,Gambling and Sports Book Writers and Runners,7500.0,27130.0,13.05,203475000.0,10.208395405652976,8.922658299524402,19.13105370517738,0,False,0,1,0.2307692307692307,0.2692307692307693,0.3076923076923077,0.0769230769230769,0.2307692307692307,0.3846153846153846,1.0,39-30,0,0
2021,-1,0,39-3012,Gambling and Sports Book Writers and Runners,7340.0,29110.0,14.0,213667400.0,10.278837036739668,8.901094121608562,19.17993115834823,0,False,0,1,0.2307692307692307,0.2692307692307693,0.3076923076923077,0.0769230769230769,0.2307692307692307,0.3846153846153846,1.0,39-30,0,0
2022,0,0,39-3012,Gambling and Sports Book Writers and Runners,7910.0,32310.0,15.53,255572100.0,10.383132058818545,8.9758830607617,19.35901511958024,0,False,0,1,0.2307692307692307,0.2692307692307693,0.3076923076923077,0.0769230769230769,0.2307692307692307,0.3846153846153846,1.0,39-30,0,0
2023,1,1,39-3012,Gambling and Sports Book Writers and Runners,8700.0,32030.0,15.4,278661000.0,10.374428242603203,9.071078304642676,19.44550654724588,0,False,0,1,0.2307692307692307,0.2692307692307693,0.3076923076923077,0.0769230769230769,0.2307692307692307,0.3846153846153846,1.0,39-30,0,0
2024,2,1,39-3012,Gambling and Sports Book Writers and Runners,7600.0,32570.0,15.66,247532000.0,10.39114689827028,8.935903526274423,19.3270504245447,0,False,0,1,0.2307692307692307,0.2692307692307693,0.3076923076923077,0.0769230769230769,0.2307692307692307,0.3846153846153846,1.0,39-30,0,0
2019,-3,0,39-3019,"Gambling Service Workers, All Other",10470.0,32000.0,15.38,335040000.0,10.373491181781864,9.256269303864585,19.629760485646447,0,False,0,1,0.13414772907860462,0.1812835297858339,0.22841933049306315,0.10001382351612764,0.20026178171339457,0.30050973991066154,7.0,,1,1
2020,-2,0,39-3019,"Gambling Service Workers, All Other",8570.0,33340.0,16.03,285723800.0,10.414513156304784,9.056023011591826,19.47053616789661,0,False,0,1,0.13414772907860462,0.1812835297858339,0.22841933049306315,0.10001382351612764,0.20026178171339457,0.30050973991066154,7.0,,1,1
2021,-1,0,39-3019,"Gambling Service Workers, All Other",10820.0,31790.0,15.28,343967800.0,10.366907053904848,9.289151552400472,19.65605860630532,0,False,0,1,0.13414772907860462,0.1812835297858339,0.22841933049306315,0.10001382351612764,0.20026178171339457,0.30050973991066154,7.0,,1,1
2022,0,0,39-3019,"Gambling Service Workers, All Other",12260.0,34340.0,16.51,421008400.0,10.444066134451466,9.414097209490205,19.85816334394167,0,False,0,1,0.13414772907860462,0.1812835297858339,0.22841933049306315,0.10001382351612764,0.20026178171339457,0.30050973991066154,7.0,,1,1
2023,1,1,39-3019,"Gambling Service Workers, All Other",13300.0,35650.0,17.14,474145000.0,10.48150442584244,9.495519314209846,19.97702374005229,0,False,0,1,0.13414772907860462,0.1812835297858339,0.22841933049306315,0.10001382351612764,0.20026178171339457,0.30050973991066154,7.0,,1,1
2024,2,1,39-3019,"Gambling Service Workers, All Other",14920.0,37590.0,18.07,560842800.0,10.534493336558224,9.610457873757753,20.144951210315977,0,False,0,1,0.13414772907860462,0.1812835297858339,0.22841933049306315,0.10001382351612764,0.20026178171339457,0.30050973991066154,7.0,,1,1
2019,-3,0,39-3021,Motion Picture Projectionists,4540.0,29890.0,14.37,135700600.0,10.305279255277984,8.420682291035394,18.72596154631338,0,False,0,1,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0757575757575757,0.1515151515151515,1.0,39-30,0,0
2020,-2,0,39-3021,Motion Picture Projectionists,2270.0,34380.0,16.53,78042600.0,10.44523027893684,7.727535110475448,18.172765389412287,0,False,0,1,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0757575757575757,0.1515151515151515,1.0,39-30,0,0
2021,-1,0,39-3021,Motion Picture Projectionists,1620.0,32970.0,15.85,53411400.0,10.403353336065775,7.390181428226429,17.793534764292207,0,False,0,1,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0757575757575757,0.1515151515151515,1.0,39-30,0,0
2022,0,0,39-3021,Motion Picture Projectionists,1900.0,35710.0,17.17,67849000.0,10.483186040588494,7.549609165154532,18.032795205743025,0,False,0,1,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0757575757575757,0.1515151515151515,1.0,39-30,0,0
2023,1,1,39-3021,Motion Picture Projectionists,2610.0,43800.0,21.06,114318000.0,10.687389096364535,7.867105500316739,18.554494596681277,0,False,0,1,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0757575757575757,0.1515151515151515,1.0,39-30,0,0
2024,2,1,39-3021,Motion Picture Projectionists,1950.0,50290.0,24.18,98065500.0,10.825561529166013,7.575584651557793,18.401146180723803,0,False,0,1,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0757575757575757,0.1515151515151515,1.0,39-30,0,0
2019,-3,0,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",138160.0,24870.0,11.96,3436039200.0,10.12141753679745,11.83616771282056,21.95758524961801,0,False,0,1,0.1142857142857142,0.1428571428571428,0.1714285714285714,0.1428571428571428,0.1999999999999999,0.2571428571428571,1.0,39-30,0,0
2020,-2,0,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",95600.0,26390.0,12.69,2522884000.0,10.18074042949737,11.467928099039492,21.648668528536863,0,False,0,1,0.1142857142857142,0.1428571428571428,0.1714285714285714,0.1428571428571428,0.1999999999999999,0.2571428571428571,1.0,39-30,0,0
2021,-1,0,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",54970.0,26390.0,12.69,1450658300.0,10.18074042949737,10.914542860854706,21.095283290352075,0,False,0,1,0.1142857142857142,0.1428571428571428,0.1714285714285714,0.1428571428571428,0.1999999999999999,0.2571428571428571,1.0,39-30,0,0
2022,0,0,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",98350.0,28700.0,13.8,2822645000.0,10.264652401747712,11.496287823817203,21.76094022556492,0,False,0,1,0.1142857142857142,0.1428571428571428,0.1714285714285714,0.1428571428571428,0.1999999999999999,0.2571428571428571,1.0,39-30,0,0
2023,1,1,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",117560.0,30520.0,14.67,3587931200.0,10.326137485398393,11.674704120532851,22.00084160593125,0,False,0,1,0.1142857142857142,0.1428571428571428,0.1714285714285714,0.1428571428571428,0.1999999999999999,0.2571428571428571,1.0,39-30,0,0
2024,2,1,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",119210.0,31770.0,15.27,3787301700.0,10.366277727263562,11.688641922712048,22.05491964997561,0,False,0,1,0.1142857142857142,0.1428571428571428,0.1714285714285714,0.1428571428571428,0.1999999999999999,0.2571428571428571,1.0,39-30,0,0
2019,-3,0,39-3091,Amusement and Recreation Attendants,338110.0,24330.0,11.7,8226216300.0,10.099465435777567,12.731126565306797,22.83059200108437,0,False,0,1,0.1923076923076923,0.2115384615384615,0.2307692307692307,0.3076923076923077,0.3653846153846154,0.4230769230769231,1.0,39-30,0,0
2020,-2,0,39-3091,Amusement and Recreation Attendants,248190.0,25610.0,12.31,6356145900.0,10.15073817919357,12.421949860852338,22.57268804004591,0,False,0,1,0.1923076923076923,0.2115384615384615,0.2307692307692307,0.3076923076923077,0.3653846153846154,0.4230769230769231,1.0,39-30,0,0
2021,-1,0,39-3091,Amusement and Recreation Attendants,262170.0,26110.0,12.55,6845258700.0,10.170073661693175,12.4767484272897,22.646822088982873,0,False,0,1,0.1923076923076923,0.2115384615384615,0.2307692307692307,0.3076923076923077,0.3653846153846154,0.4230769230769231,1.0,39-30,0,0
2022,0,0,39-3091,Amusement and Recreation Attendants,324580.0,28350.0,13.63,9201843000.0,10.252382309155898,12.690287317869872,22.942669627025772,0,False,0,1,0.1923076923076923,0.2115384615384615,0.2307692307692307,0.3076923076923077,0.3653846153846154,0.4230769230769231,1.0,39-30,0,0
2023,1,1,39-3091,Amusement and Recreation Attendants,361680.0,30240.0,14.54,10937203200.0,10.31692083029347,12.798515121968489,23.11543595226195,0,False,0,1,0.1923076923076923,0.2115384615384615,0.2307692307692307,0.3076923076923077,0.3653846153846154,0.4230769230769231,1.0,39-30,0,0
2024,2,1,39-3091,Amusement and Recreation Attendants,371590.0,31350.0,15.07,11649346500.0,10.352969546061066,12.825546374903102,23.17851592096417,0,False,0,1,0.1923076923076923,0.2115384615384615,0.2307692307692307,0.3076923076923077,0.3653846153846154,0.4230769230769231,1.0,39-30,0,0
2019,-3,0,39-3092,Costume Attendants,7460.0,48970.0,23.55,365316200.0,10.798963144696364,8.917310693197807,19.71627383789417,0,False,0,1,0.1111111111111111,0.2638888888888889,0.4166666666666666,0.0,0.2361111111111111,0.4722222222222222,1.0,39-30,0,0
2020,-2,0,39-3092,Costume Attendants,5750.0,51780.0,24.89,297735000.0,10.854759253305527,8.656955133791396,19.511714387096927,0,False,0,1,0.1111111111111111,0.2638888888888889,0.4166666666666666,0.0,0.2361111111111111,0.4722222222222222,1.0,39-30,0,0
2021,-1,0,39-3092,Costume Attendants,3380.0,54590.0,26.25,184514200.0,10.907605994775803,8.125630988477065,19.033236983252863,0,False,0,1,0.1111111111111111,0.2638888888888889,0.4166666666666666,0.0,0.2361111111111111,0.4722222222222222,1.0,39-30,0,0
2022,0,0,39-3092,Costume Attendants,5730.0,55070.0,26.48,315551100.0,10.916360382256528,8.653470809708786,19.569831191965314,0,False,0,1,0.1111111111111111,0.2638888888888889,0.4166666666666666,0.0,0.2361111111111111,0.4722222222222222,1.0,39-30,0,0
2023,1,1,39-3092,Costume Attendants,6300.0,60230.0,28.96,379449000.0,11.005925846037767,8.748304912379623,19.75423075841739,0,False,0,1,0.1111111111111111,0.2638888888888889,0.4166666666666666,0.0,0.2361111111111111,0.4722222222222222,1.0,39-30,0,0
2024,2,1,39-3092,Costume Attendants,6290.0,65890.0,31.68,414448100.0,11.095741963907866,8.746716349694486,19.84245831360235,0,False,0,1,0.1111111111111111,0.2638888888888889,0.4166666666666666,0.0,0.2361111111111111,0.4722222222222222,1.0,39-30,0,0
2019,-3,0,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",15990.0,28230.0,13.57,451397700.0,10.248140521247535,9.679718805828,19.927859327075534,0,False,0,1,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.1451612903225806,0.2258064516129032,1.0,39-30,0,0
2020,-2,0,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",11530.0,29320.0,14.1,338059600.0,10.286025156000589,9.352707613263105,19.638732769263697,0,False,0,1,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.1451612903225806,0.2258064516129032,1.0,39-30,0,0
2021,-1,0,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",9670.0,30220.0,14.53,292227400.0,10.316259235826733,9.17678358844734,19.49304282427407,0,False,0,1,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.1451612903225806,0.2258064516129032,1.0,39-30,0,0
2022,0,0,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",12130.0,32560.0,15.66,394952800.0,10.390839820116476,9.403437001938096,19.794276822054577,0,False,0,1,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.1451612903225806,0.2258064516129032,1.0,39-30,0,0
2023,1,1,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",14720.0,34590.0,16.63,509164800.0,10.451319901931214,9.596962392282869,20.048282294214083,0,False,0,1,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.1451612903225806,0.2258064516129032,1.0,39-30,0,0
2024,2,1,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",14960.0,36490.0,17.54,545890400.0,10.504793529430492,9.613135251528467,20.11792878095896,0,False,0,1,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.1451612903225806,0.2258064516129032,1.0,39-30,0,0
2019,-3,0,39-3099,"Entertainment Attendants and Related Workers, All Other",4500.0,31790.0,15.28,143055000.0,10.366907053904848,8.411832675758411,18.77873972966326,0,False,0,1,0.13414772907860462,0.1812835297858339,0.22841933049306315,0.10001382351612764,0.20026178171339457,0.30050973991066154,7.0,,1,1
2020,-2,0,39-3099,"Entertainment Attendants and Related Workers, All Other",3900.0,32580.0,15.66,127062000.0,10.391453882156036,8.268731832117737,18.660185714273773,0,False,0,1,0.13414772907860462,0.1812835297858339,0.22841933049306315,0.10001382351612764,0.20026178171339457,0.30050973991066154,7.0,,1,1
2021,-1,0,39-3099,"Entertainment Attendants and Related Workers, All Other",4290.0,29680.0,14.27,127327200.0,10.298228697281315,8.364042011922063,18.66227070920338,0,False,0,1,0.13414772907860462,0.1812835297858339,0.22841933049306315,0.10001382351612764,0.20026178171339457,0.30050973991066154,7.0,,1,1
2022,0,0,39-3099,"Entertainment Attendants and Related Workers, All Other",4930.0,30810.0,14.81,151893300.0,10.335594591590713,8.503094267036737,18.83868885862745,0,False,0,1,0.13414772907860462,0.1812835297858339,0.22841933049306315,0.10001382351612764,0.20026178171339457,0.30050973991066154,7.0,,1,1
2023,1,1,39-3099,"Entertainment Attendants and Related Workers, All Other",7320.0,34670.0,16.67,253784400.0,10.45363003867907,8.898365606955357,19.351995645634425,0,False,0,1,0.13414772907860462,0.1812835297858339,0.22841933049306315,0.10001382351612764,0.20026178171339457,0.30050973991066154,7.0,,1,1
2024,2,1,39-3099,"Entertainment Attendants and Related Workers, All Other",8060.0,36180.0,17.4,291610800.0,10.496261758949286,8.994668835500674,19.49093059444996,0,False,0,1,0.13414772907860462,0.1812835297858339,0.22841933049306315,0.10001382351612764,0.20026178171339457,0.30050973991066154,7.0,,1,1
2019,-3,0,39-4011,Embalmers,3890.0,50100.0,24.09,194889000.0,10.821776287072955,8.266164436612492,19.08794072368545,0,False,0,1,0.04,0.04,0.04,0.0,0.04,0.08,1.0,39-40,0,0
2020,-2,0,39-4011,Embalmers,3860.0,50220.0,24.14,193849200.0,10.824168632711576,8.258422462458876,19.082591095170457,0,False,0,1,0.04,0.04,0.04,0.0,0.04,0.08,1.0,39-40,0,0
2021,-1,0,39-4011,Embalmers,4070.0,51210.0,24.62,208424700.0,10.843690104456597,8.311398278436641,19.155088382893236,0,False,0,1,0.04,0.04,0.04,0.0,0.04,0.08,1.0,39-40,0,0
2022,0,0,39-4011,Embalmers,3950.0,54120.0,26.02,213774000.0,10.898959082284724,8.281470857895167,19.18042994017989,0,False,0,1,0.04,0.04,0.04,0.0,0.04,0.08,1.0,39-40,0,0
2023,1,1,39-4011,Embalmers,3380.0,56690.0,27.26,191612200.0,10.945353107318349,8.125630988477065,19.070984095795417,0,False,0,1,0.04,0.04,0.04,0.0,0.04,0.08,1.0,39-40,0,0
2024,2,1,39-4011,Embalmers,3420.0,57520.0,27.65,196718400.0,10.959887992394927,8.13739583005665,19.09728382245158,0,False,0,1,0.04,0.04,0.04,0.0,0.04,0.08,1.0,39-40,0,0
2021,-1,0,39-4012,Crematory Operators,2040.0,39660.0,19.07,80906400.0,10.588098402073786,7.620705086838262,18.20880348891205,0,False,0,0,0.0,0.0416666666666666,0.0833333333333333,0.0,0.125,0.25,1.0,39-40,0,0
2022,0,0,39-4012,Crematory Operators,2930.0,43120.0,20.73,126341600.0,10.67174220558288,7.982757702011113,18.65449990759399,0,False,0,0,0.0,0.0416666666666666,0.0833333333333333,0.0,0.125,0.25,1.0,39-40,0,0
2023,1,1,39-4012,Crematory Operators,3220.0,44290.0,21.3,142613800.0,10.698514196917245,8.077136638538454,18.775650835455696,0,False,0,0,0.0,0.0416666666666666,0.0833333333333333,0.0,0.125,0.25,1.0,39-40,0,0
2024,2,1,39-4012,Crematory Operators,2950.0,44790.0,21.53,132130500.0,10.709740179201344,7.989560449333865,18.699300628535212,0,False,0,0,0.0,0.0416666666666666,0.0833333333333333,0.0,0.125,0.25,1.0,39-40,0,0
2019,-3,0,39-4021,Funeral Attendants,34370.0,29830.0,14.34,1025257100.0,10.303269877508797,10.44493936984388,20.748209247352673,0,False,0,1,0.1777777777777777,0.1777777777777777,0.1777777777777777,0.1555555555555555,0.2333333333333333,0.3111111111111111,1.0,39-40,0,0
2020,-2,0,39-4021,Funeral Attendants,32300.0,31130.0,14.97,1005499000.0,10.345927263435652,10.382822509210747,20.728749772646403,0,False,0,1,0.1777777777777777,0.1777777777777777,0.1777777777777777,0.1555555555555555,0.2333333333333333,0.3111111111111111,1.0,39-40,0,0
2021,-1,0,39-4021,Funeral Attendants,32490.0,31630.0,15.21,1027658700.0,10.361861316299697,10.388687628663146,20.75054894496284,0,False,0,1,0.1777777777777777,0.1777777777777777,0.1777777777777777,0.1555555555555555,0.2333333333333333,0.3111111111111111,1.0,39-40,0,0
2022,0,0,39-4021,Funeral Attendants,32950.0,34340.0,16.51,1131503000.0,10.444066134451466,10.402746539930654,20.84681267438212,0,False,0,1,0.1777777777777777,0.1777777777777777,0.1777777777777777,0.1555555555555555,0.2333333333333333,0.3111111111111111,1.0,39-40,0,0
2023,1,1,39-4021,Funeral Attendants,32620.0,35200.0,16.92,1148224000.0,10.468801361586188,10.392680876175003,20.86148223776119,0,False,0,1,0.1777777777777777,0.1777777777777777,0.1777777777777777,0.1555555555555555,0.2333333333333333,0.3111111111111111,1.0,39-40,0,0
2024,2,1,39-4021,Funeral Attendants,30560.0,35900.0,17.26,1097104000.0,10.48849257447637,10.327447243280456,20.815939817756828,0,False,0,1,0.1777777777777777,0.1777777777777777,0.1777777777777777,0.1555555555555555,0.2333333333333333,0.3111111111111111,1.0,39-40,0,0
2019,-3,0,39-4031,"Morticians, Undertakers, and Funeral Arrangers",25440.0,58360.0,28.06,1484678400.0,10.974386002636722,10.144078017454058,21.11846402009078,0,False,0,1,0.0930232558139534,0.1627906976744186,0.2325581395348837,0.0,0.0930232558139534,0.1860465116279069,1.0,39-40,0,0
2020,-2,0,39-4031,"Morticians, Undertakers, and Funeral Arrangers",24560.0,59000.0,28.36,1449040000.0,10.985292722887856,10.108874382261078,21.094167105148937,0,False,0,1,0.0930232558139534,0.1627906976744186,0.2325581395348837,0.0,0.0930232558139534,0.1860465116279069,1.0,39-40,0,0
2021,-1,0,39-4031,"Morticians, Undertakers, and Funeral Arrangers",24700.0,56360.0,27.1,1392092000.0,10.939514966012617,10.114558522616068,21.054073488628685,0,False,0,1,0.0930232558139534,0.1627906976744186,0.2325581395348837,0.0,0.0930232558139534,0.1860465116279069,1.0,39-40,0,0
2022,0,0,39-4031,"Morticians, Undertakers, and Funeral Arrangers",23940.0,58430.0,28.09,1398814200.0,10.975584735548482,10.083305979111964,21.058890714660446,0,False,0,1,0.0930232558139534,0.1627906976744186,0.2325581395348837,0.0,0.0930232558139534,0.1860465116279069,1.0,39-40,0,0
2023,1,1,39-4031,"Morticians, Undertakers, and Funeral Arrangers",24200.0,58020.0,27.9,1404084000.0,10.968543057675396,10.09410791214478,21.062650969820172,0,False,0,1,0.0930232558139534,0.1627906976744186,0.2325581395348837,0.0,0.0930232558139534,0.1860465116279069,1.0,39-40,0,0
2024,2,1,39-4031,"Morticians, Undertakers, and Funeral Arrangers",25700.0,56340.0,27.09,1447938000.0,10.939160041430364,10.154246270883313,21.093406312313675,0,False,0,1,0.0930232558139534,0.1627906976744186,0.2325581395348837,0.0,0.0930232558139534,0.1860465116279069,1.0,39-40,0,0
2019,-3,0,39-5011,Barbers,20030.0,35190.0,16.92,704855700.0,10.46851723031563,9.904986428659864,20.373503658975498,0,False,0,1,0.088235294117647,0.1617647058823529,0.2352941176470588,0.0,0.0735294117647058,0.1470588235294117,1.0,39-50,0,0
